id;date;count
1;12.10.18;5
2;13.10.18;4
3;14.10.18;6
4;15.10.18;6
5;16.10.18;6,5
6;17.10.18;7
7;18.10.18;7,5
8;19.10.18;8
9;20.10.18;8,5
10;21.10.18;9
11;22.10.18;9,5
12;23.10.18;10
13;24.10.18;10,5
14;25.10.18;11
15;26.10.18;11,5
16;27.10.18;12
17;28.10.18;12,5
18;29.10.18;13
19;30.10.18;13,5
20;31.10.18;14
21;01.11.18;14,5
22;02.11.18;15
23;03.11.18;15,5
24;04.11.18;16
25;05.11.18;16,5
26;06.11.18;17
27;07.11.18;17,5
28;08.11.18;18
29;09.11.18;18,5
30;10.11.18;19
31;11.11.18;19,5
32;12.11.18;20
33;13.11.18;20,5
34;14.11.18;21
35;15.11.18;21,5
36;16.11.18;22
37;17.11.18;22,5
38;18.11.18;23
39;19.11.18;23,5
40;20.11.18;24
41;21.11.18;24,5
42;22.11.18;25
43;23.11.18;25,5
44;24.11.18;26
45;25.11.18;26,5
46;26.11.18;27
47;27.11.18;27,5
48;28.11.18;28
49;29.11.18;28,5
50;30.11.18;29
51;01.12.18;29,5
52;02.12.18;30
53;03.12.18;30,5
54;04.12.18;31
55;05.12.18;31,5
56;06.12.18;32
57;07.12.18;32,5
58;08.12.18;33
59;09.12.18;33,5
60;10.12.18;34
61;11.12.18;34,5
62;12.12.18;35
63;13.12.18;35,5
64;14.12.18;36
65;15.12.18;36,5
66;16.12.18;37
67;17.12.18;37,5
68;18.12.18;38
69;19.12.18;38,5
70;20.12.18;39
71;21.12.18;39,5
72;22.12.18;40
73;23.12.18;40,5
74;24.12.18;41
75;25.12.18;41,5
76;26.12.18;42
77;27.12.18;42,5
78;28.12.18;43
79;29.12.18;43,5
80;30.12.18;44
81;31.12.18;44,5
82;01.01.19;45
83;02.01.19;45,5
84;03.01.19;46
85;04.01.19;46,5
86;05.01.19;47
87;06.01.19;47,5
88;07.01.19;48
89;08.01.19;48,5
90;09.01.19;49
91;10.01.19;49,5
92;11.01.19;50
93;12.01.19;50,5
94;13.01.19;51
95;14.01.19;51,5
96;15.01.19;52
97;16.01.19;52,5
98;17.01.19;53
99;18.01.19;53,5
100;19.01.19;54
